ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-02 17:36:04,1.0,0.9999999986908162,1.0000000012983319,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-22 16:28:18,1.0,0.9999999987209967,1.0000000013585824,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-22 17:54:15,1.0,0.9999999986142456,1.0000000013213508,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-24 21:31:34,1.0,0.9999999988237279,1.0000000013096588,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-01-28 06:19:54,1.0,0.9999999987130835,1.000000001257985,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-02 00:47:17,1.0,0.9999999988082569,1.0000000013586579,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-03 12:05:22,1.0,0.9999999987085114,1.0000000011653922,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-03 21:29:31,1.0,0.9999999987372591,1.0000000012798345,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-06 02:17:32,1.0,0.9999999986383284,1.0000000012058226,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-06 17:46:37,1.0,0.9999999988074783,1.0000000013391073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-06 23:52:37,1.0,0.9999999986623788,1.0000000012733705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-07 08:26:44,1.0,0.9999999986476414,1.0000000013346035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-07 21:11:22,1.0,0.9999999987057278,1.0000000012536834,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-09 02:39:00,1.0,0.9999999987888071,1.0000000013110395,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-09 17:39:49,1.0,0.9999999987691229,1.0000000012196477,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-09 21:02:19,1.0,0.9999999986676185,1.0000000012678896,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-10 02:37:24,1.0,0.999999998746675,1.0000000013277868,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-10 17:44:39,1.0,0.9999999987726239,1.0000000012115304,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-12 07:05:45,1.0,0.9999999987579646,1.0000000013044028,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-12 07:55:20,1.0,0.999999998752637,1.000000001229937,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-12 17:00:32,1.0,0.999999998642961,1.0000000012818522,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-13 08:10:29,1.0,0.9999999986238419,1.0000000013105368,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-13 08:22:57,1.0,0.9999999985988183,1.0000000013031451,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-13 08:26:55,1.0,0.999999998674946,1.0000000013453663,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-13 08:38:50,1.0,0.9999999987035685,1.0000000012922912,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-13 08:48:44,1.0,0.9999999986594874,1.0000000011488308,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-13 08:48:55,1.0,0.9999999986908248,1.0000000012354344,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-13 08:55:06,1.0,0.9999999986397425,1.00000000132444,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-13 08:55:08,1.0,0.9999999987703238,1.0000000012445414,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-02-13 09:05:33,1.0,0.9999999987505626,1.0000000013217085,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
